,Distributor,Product Name,Sales
2942,Kozey-Emmerich ,Tetratanyl,80002160.0
58,Bashirian-Kassulke  ,Ionclotide,74666230.0
2931,Kozey-Emmerich ,Sumanazole,57885825.0
2935,Kozey-Emmerich ,Symdocet,44215250.0
2513,Koss   ,Alarudin Azarolac,38676771.0
1562,Gerlach LLC ,Halcifergen Nevazone,38043220.0
1540,Gerlach LLC ,Docstryl Rivacin,37354416.0
2789,Kozey-Emmerich ,Betanem,33316608.0
2649,Koss   ,Nevanide Actozide,33050388.0
2555,Koss   ,Cephozumab Synmethate,32990208.0
2601,Koss   ,Flutacerol,32922295.0
1606,Gerlach LLC ,Nevanide Actozide,31543038.0
1492,Gerlach LLC ,Antilamin Clinbital,31399896.0
20,Bashirian-Kassulke  ,Antaparin Varizyme,31226310.0
2520,Koss   ,Alimmethate Insudase,30678336.0
2711,Koss   ,Travoloride,30334755.0
1671,Gerlach LLC ,Trazozaprine,30303816.0
2549,Koss   ,Betanem,30215172.0
1489,Gerlach LLC ,Androporin,30175610.0
1558,Gerlach LLC ,Flutacerol,30162070.0
1675,Gerlach LLC ,Victomax,29938888.0
2648,Koss   ,Neuropogen Empibax,29917855.0
1600,Gerlach LLC ,Menogine,29874404.0
1664,Gerlach LLC ,Topifribrate,29541591.0
2707,Koss   ,Topifribrate,29447199.0
1482,Gerlach LLC ,Amamadin,29361340.0
1623,Gerlach LLC ,Propratecan,29030694.0
1547,Gerlach LLC ,Eproline,28671240.0
16,Bashirian-Kassulke  ,Amavirase,28367750.0
2518,Koss   ,Algluconium Dorzofoxin,28241642.0
1530,Gerlach LLC ,Darlofen,28043354.0
1499,Gerlach LLC ,Arivac,27979182.0
1604,Gerlach LLC ,Morphizolid Tianalin,27771576.0
2488,Koss   ,Abatatriptan,27749316.0
2623,Koss   ,Ketastadil,27662565.0
1458,Gerlach LLC ,Adideine,27606804.0
1640,Gerlach LLC ,Secrelazine Insonamic,27565495.9681
1670,Gerlach LLC ,Trazobalamin,27550117.658291
1584,Gerlach LLC ,Kiovax Tercorolac,27461992.0
1580,Gerlach LLC ,Ketastadil,26841577.0
1657,Gerlach LLC ,Testant,26822920.0
1581,Gerlach LLC ,Kinenadryl,26818690.0
1449,Gerlach LLC ,Abtasol,26619970.0
1625,Gerlach LLC ,Pulmofine,26554736.0
1554,Gerlach LLC ,Fentalac,26170446.0
1479,Gerlach LLC ,Allomenda,26111479.0
2647,Koss   ,Morphizolid Tianalin,26080558.0
1511,Gerlach LLC ,Cephovelam,25987274.0
