,Product Class,City,Customer Name,Sales
96,Analgesics,Butzbach,Mraz-Kutch Pharma Plc,80791299.0
1542,Antimalarial,Baesweiler,"Parker, Green and Emmerich Pharma Plc",50621612.0
3878,Mood Stabilizers,Cuxhaven,Zemlak-Witting ,33661046.0
2330,Antipiretics,Bottrop,Streich PLC ,31501671.0
1607,Antimalarial,Castrop-Rauxel,"Romaguera, Moen and Hagenes Pharmacy",31341195.0
10,Analgesics,Altenburg,"Moen, Murazik and Smith Pharm",31276295.0
2188,Antimalarial,Weinheim,"Prohaska, Bogisich and Gutkowski Pharmaceutical Limited",26669106.0
383,Analgesics,Limburg,"Torphy, Pfeffer and Jakubowski Pharm",26296677.0
2150,Antimalarial,Trier,Reichel Inc ,25928083.0
142,Analgesics,Ditzingen,Fadel-West Pharmacy,24259609.0
52,Analgesics,Berlin,"Kuphal, Herzog and Purdy ",23985939.0
1638,Antimalarial,Dessau-Roßlau,"Runolfsson, Swaniawski and Jaskolski Pharmaceutical Limited",22566514.0
457,Analgesics,Neuss,"Schowalter, Runolfsson and VonRueden Pharmaceutical Limited",21237562.0
122,Analgesics,Crailsheim,Runolfsson-Powlowski Pharmacy,21228208.0
4203,Mood Stabilizers,Nettetal,"Watsica, Larson and Labadie Pharmaceutical Ltd",21222570.0
3401,Antiseptics,Ludwigshafen,"Wiegand, Jast and Yost Pharmaceutical Ltd",21204489.0
3882,Mood Stabilizers,Dachau,Goldner-Tillman Pharm,21065233.0
1368,Antibiotics,Springe,Hayes-Kilback Pharmaceutical Limited,20065849.0
2408,Antipiretics,Eberswalde,Stehr-Champlin Pharmacy,19825790.0
4418,Mood Stabilizers,Vechta,Zemlak Group Pharm,19168275.0
2746,Antipiretics,Osterholz-Scharmbeck,"Haag, Bradtke and Terry ",19164925.0
3936,Mood Stabilizers,Filderstadt,Fadel-West Pharmaceutical Ltd,19148528.0
275,Analgesics,Heppenheim,"Bogan, Jacobs and Kris Pharmaceutical Ltd",18640242.0
196,Analgesics,Friedrichsdorf,Senger-Kirlin Pharmaceutical Ltd,18328178.0
2486,Antipiretics,Griesheim,Kozey Ltd Pharma Plc,18020198.0
1138,Antibiotics,Lohmar,Quigley-Heathcote Pharmaceutical Ltd,17395409.0
1567,Antimalarial,Bietigheim-Bissingen,"Balistreri, Torp and Gulgowski ",16671126.0
666,Analgesics,Viernheim,Medhurst-Beer Pharm,16565282.0
1356,Antibiotics,Sindelfingen,Reilly Ltd Pharmacy,16364303.0
163,Analgesics,Emsdetten,Mills Inc Pharmaceutical Ltd,16291547.0
3557,Antiseptics,Rheinberg,Runolfsson-Halvorson Pharm,16171404.0
3174,Antiseptics,Erlangen,Buckridge-Strosin Pharmaceutical Ltd,15720174.0
2933,Antipiretics,Wedel,Raynor-Graham ,15582225.0
936,Antibiotics,Frankenthal,McDermott Inc Pharmacy,15379999.0
146,Analgesics,Dortmund,Turner Ltd Pharmacy,15029686.0
2067,Antimalarial,Rudolstadt,Bayer LLC ,15024524.0
938,Antibiotics,Frankfurt (Oder),"Parker, Green and Emmerich Pharmacy",14962030.0
1446,Antibiotics,Westerstede,Skiles-McKenzie Pharmaceutical Limited,14730425.0
961,Antibiotics,Gelsenkirchen,Keeling LLC Pharmaceutical Limited,14620640.0
4085,Mood Stabilizers,Kleve,Kihn Group ,14601115.0
3411,Antiseptics,Magdeburg,"Johns, Mueller and Nitzsche ",14373663.0
1122,Antibiotics,Leer,Heidenreich Group Pharmacy,14357502.0
3662,Antiseptics,Unna,McKenzie-Zemlak Pharma Plc,14316050.0
461,Analgesics,Neuwied,"Harris, Daugherty and Okuneva Pharm",13931587.0
4174,Mood Stabilizers,Melle,Abernathy Group Pharmacy,13714753.0
1079,Antibiotics,Kirchheim unter Teck,Smith Inc Pharmacy,13488995.0
3295,Antiseptics,Höxter,Bosco-Marquardt Pharmaceutical Ltd,13364129.0
3946,Mood Stabilizers,Freising,"Gleichner, Bahringer and Morar Pharmaceutical Limited",13348087.0
38,Analgesics,Bad Vilbel,Kohler-Bednar Pharm,12812536.0
1130,Antibiotics,Lennestadt,Hoeger Ltd Pharm,12727815.0
2693,Antipiretics,Mühldorf,Cassin PLC Pharma Plc,12692498.0
983,Antibiotics,Grevenbroich,Torp-Fisher ,12354226.0
2127,Antimalarial,Steinfurt,Wehner-Stehr ,12283484.0
942,Antibiotics,Freising,"Gleichner, Bahringer and Morar Pharmaceutical Limited",12215648.0
1800,Antimalarial,Ingelheim,Predovic LLC Pharmaceutical Limited,12179632.0
3269,Antiseptics,Hattingen,Gottlieb-Koss Pharm,12134629.0
3234,Antiseptics,Greiz,"Parisian, Hagenes and Skiles Pharm",12069849.0
4179,Mood Stabilizers,Meschede,"Langworth, Olson and Satterfield Pharmacy",11915192.0
946,Antibiotics,Friedberg,Gibson-Hill Pharmaceutical Limited,11900470.0
288,Analgesics,Horb am Neckar,Abernathy Group ,11667618.0
2335,Antipiretics,Bremen,Mills Inc Pharmacy,11628412.0
219,Analgesics,Gladbeck,Jakubowski Inc Pharmacy,11602289.0
3917,Mood Stabilizers,Emmendingen,"Spinka, Schowalter and Conn Pharma Plc",11570128.0
822,Antibiotics,Bocholt,Leannon-West Pharmaceutical Limited,11440948.0
409,Analgesics,Mainz,Dach PLC Pharm,11383929.0
2720,Antipiretics,Norderstedt,Kihn Group Pharmaceutical Limited,11330683.0
3230,Antiseptics,Goslar,Kertzmann-Ward Pharmaceutical Limited,11294134.0
680,Analgesics,Wedel,Raynor-Graham ,11216385.0
3085,Antiseptics,Braunschweig,"Heathcote, Grant and Witting Pharmacy",11199058.0
3918,Mood Stabilizers,Emsdetten,Mills Inc Pharmaceutical Ltd,11150012.0
3647,Antiseptics,Taunusstein,"Block, Thiel and Kuphal Pharm",11060626.0
32,Analgesics,Bad Oeynhausen,Ondricka-Waters Pharmaceutical Ltd,11048145.0
4444,Mood Stabilizers,Weißenfels,Cassin PLC Pharmaceutical Limited,11016676.0
3390,Antiseptics,Lippstadt,"Wuckert, Kreiger and Howell Pharma Plc",10988309.0
575,Analgesics,Salzkotten,"Leuschke, Waters and Schowalter Pharmacy",10900710.0
2573,Antipiretics,Kehl,Corkery-Kovacek Pharm,10780197.0
3222,Antiseptics,Gifhorn,Herman-Koss Pharmaceutical Ltd,10635631.0
4366,Mood Stabilizers,Sondershausen,Marquardt-Ryan Pharma Plc,10584828.0
3251,Antiseptics,Güstrow,Monahan Ltd Pharma Plc,10536216.0
1659,Antimalarial,Einbeck,Fahey-Prosacco Pharmaceutical Limited,10504136.0
2376,Antipiretics,Cuxhaven,Zemlak-Witting ,10504013.0
2422,Antipiretics,Erkrath,Friesen Group Pharm,10493059.0
1519,Antimalarial,Arnsberg,Hayes-Kilback Pharma Plc,10443752.0
413,Analgesics,Marktoberdorf,Kozey-Emmerich Pharmacy,10394978.0
556,Analgesics,Riesa,"Cormier, Dietrich and Zulauf Pharmacy",10369493.0
3124,Antiseptics,Cologne,"Kuphal, D'Amore and Bode Pharm",10365655.0
3541,Antiseptics,Radolfzell am Bodensee,Streich PLC Pharm,10312740.0
3801,Mood Stabilizers,Bayreuth,"Nitzsche, Effertz and Maggio ",10235538.0
1298,Antibiotics,Remscheid,Block-Romaguera ,10110453.0
1979,Antimalarial,Oberhausen,"Bernier, Murphy and Rau Pharmaceutical Limited",10044637.0
2265,Antipiretics,Amberg,Rohan Inc Pharmaceutical Limited,10019289.0
1746,Antimalarial,Görlitz,D'Amore and Sons Pharm,10003680.0
626,Analgesics,Steinheim am Main,"Daniel, Baumbach and Nitzsche ",9973903.0
3786,Mood Stabilizers,Bad Neuenahr-Ahrweiler,"Buckridge, Hand and Hyatt Pharmaceutical Ltd",9940188.0
572,Analgesics,Saarbrücken,Raynor-Graham Pharma Plc,9901603.0
1524,Antimalarial,Aurich,"Barrows, Zboncak and Reichert Pharm",9712740.0
201,Analgesics,Fürth,Fritsch-Hauck Pharmaceutical Ltd,9698365.0
3296,Antiseptics,Hückelhoven,Beier PLC Pharm,9654741.0
548,Analgesics,Rendsburg,Barton Ltd Pharm,9633386.0
1382,Antibiotics,Strausberg,Raynor LLC Pharmaceutical Limited,9589913.0
3198,Antiseptics,Friedberg,Funk and Sons Pharmacy,9586727.0
3026,Antiseptics,Aurich,"Barrows, Zboncak and Reichert Pharm",9575562.0
2816,Antipiretics,Rottweil,Vandervort LLC Pharmaceutical Ltd,9561940.0
1958,Antimalarial,Neuruppin,Buckridge-Strosin Pharma Plc,9471051.0
4037,Mood Stabilizers,Hildesheim,"Corkery, Trantow and Ferry Pharm",9418894.0
456,Analgesics,Neuruppin,Buckridge-Strosin Pharma Plc,9397342.0
639,Analgesics,Sömmerda,"Rodriguez, Stokes and Dickens Pharma Plc",9393998.0
1385,Antibiotics,Suhl,Will and Sons Pharmacy,9358880.0
2656,Antipiretics,Lüdenscheid,Rosenbaum-Tromp Pharmacy,9348996.0
2744,Antipiretics,Oranienburg,Gulgowski-Vandervort Pharma Plc,9336554.0
2087,Antimalarial,Schorndorf,"Herman, Rice and Rippin Pharmaceutical Limited",9274784.0
4225,Mood Stabilizers,Northeim,"Nitzsche, Effertz and Maggio Pharmaceutical Limited",9242362.0
2414,Antipiretics,Emden,Welch-Orn Pharm,9198151.0
767,Antibiotics,Apolda,Mayert-Weber Pharmaceutical Ltd,9149079.0
906,Antibiotics,Eberswalde,Stehr-Champlin Pharmacy,9144771.0
510,Analgesics,Pfaffenhofen,Armstrong Inc Pharm,9014137.0
3289,Antiseptics,Hohen Neuendorf,Mraz Group Pharma Plc,8986081.0
1016,Antibiotics,Hattingen,Gottlieb-Koss Pharm,8973978.0
3171,Antiseptics,Erfurt,Schulist-Zulauf ,8968701.0
939,Antibiotics,Frechen,Roob PLC Pharmaceutical Limited,8942762.0
2011,Antimalarial,Petershagen,Goldner-Tillman Pharmacy,8924779.0
191,Analgesics,Freising,"Gleichner, Bahringer and Morar Pharmaceutical Limited",8919083.0
4072,Mood Stabilizers,Kassel,Haley PLC Pharmacy,8901663.0
2284,Antipiretics,Bad Neuenahr-Ahrweiler,"Buckridge, Hand and Hyatt Pharmaceutical Ltd",8881751.0
2263,Antipiretics,Altenburg,"Moen, Murazik and Smith Pharm",8828346.0
718,Analgesics,Wunstorf,Hartmann-Wolf Pharmacy,8799582.0
3149,Antiseptics,Dorsten,Veum and Sons Pharmaceutical Ltd,8793544.0
555,Analgesics,Rheinfelden (Baden),Osinski-Collins ,8712399.0
165,Analgesics,Erding,"Kuphal, Herzog and Purdy Pharmaceutical Limited",8702820.0
302,Analgesics,Itzehoe,Kling Inc ,8660676.0
4053,Mood Stabilizers,Ingelheim,Predovic LLC Pharmaceutical Limited,8645595.0
3495,Antiseptics,Oranienburg,Gulgowski-Vandervort Pharma Plc,8623484.0
476,Analgesics,Nürtingen,Hane Ltd ,8560985.0
