ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-01,253451557.23729888,130777812.25052011,240029249.26169884,253451557.23729888,253451557.23729888,-70914289.44850823,-70914289.44850823,-70914289.44850823,-70914289.44850823,-70914289.44850823,-70914289.44850823,0.0,0.0,0.0,182537267.78879064
2017-02-01,253023014.1248208,201353886.21008295,313088403.18694574,253023014.1248208,253023014.1248208,1466477.894901195,1466477.894901195,1466477.894901195,1466477.894901195,1466477.894901195,1466477.894901195,0.0,0.0,0.0,254489492.01972198
2017-03-01,252635942.92872044,210404874.77518174,325527199.7756417,252635942.92872044,252635942.92872044,17205924.177599225,17205924.177599225,17205924.177599225,17205924.177599225,17205924.177599225,17205924.177599225,0.0,0.0,0.0,269841867.10631967
2017-04-01,252207399.81875223,147600190.06850728,258902709.10208988,252207399.81875223,252207399.81875223,-50615823.76541823,-50615823.76541823,-50615823.76541823,-50615823.76541823,-50615823.76541823,-50615823.76541823,0.0,0.0,0.0,201591576.053334
2017-05-01,251792680.68326798,178295889.7395631,284910184.77460974,251792680.68326798,251792680.68326798,-17190080.65762013,-17190080.65762013,-17190080.65762013,-17190080.65762013,-17190080.65762013,-17190080.65762013,0.0,0.0,0.0,234602600.02564785
2017-06-01,251364137.57284307,229266498.79375693,340995500.2965964,251364137.57284307,251364137.57284307,33537537.11275137,33537537.11275137,33537537.11275137,33537537.11275137,33537537.11275137,33537537.11275137,0.0,0.0,0.0,284901674.68559444
2017-07-01,250949418.43372208,225799541.69815284,342355829.83867586,250949418.43372208,250949418.43372208,36247619.712840214,36247619.712840214,36247619.712840214,36247619.712840214,36247619.712840214,36247619.712840214,0.0,0.0,0.0,287197038.1465623
2017-08-01,250520875.32023492,212043218.34332126,325653511.20528376,250520875.32023492,250520875.32023492,16529311.350514865,16529311.350514865,16529311.350514865,16529311.350514865,16529311.350514865,16529311.350514865,0.0,0.0,0.0,267050186.67074978
2017-09-01,250092332.20816424,213204927.2396939,327079037.05901784,250092332.20816424,250092332.20816424,17748863.931467384,17748863.931467384,17748863.931467384,17748863.931467384,17748863.931467384,17748863.931467384,0.0,0.0,0.0,267841196.13963163
2017-10-01,249677613.06745064,194054206.58984563,302586322.72355694,249677613.06745064,249677613.06745064,-1121535.8078660534,-1121535.8078660534,-1121535.8078660534,-1121535.8078660534,-1121535.8078660534,-1121535.8078660534,0.0,0.0,0.0,248556077.25958458
2017-11-01,249249069.95749435,230964348.83985117,348759346.38062465,249249069.95749435,249249069.95749435,41176970.14974591,41176970.14974591,41176970.14974591,41176970.14974591,41176970.14974591,41176970.14974591,0.0,0.0,0.0,290426040.10724026
