,Product Name,Year,Month,Sales
6409,Ionclotide,2019,August,74507218.0
10318,Tetratanyl,2020,October,47253192.0
2233,Antaparin Varizyme,2019,August,31130379.0
1849,Amavirase,2019,August,28770012.0
10298,Tetratanyl,2019,December,26165755.0
9782,Sumanazole,2020,December,25453893.0
9913,Symbitrim,2019,August,25256320.0
9768,Sumanazole,2019,April,22320626.0
8571,Propratecan,2019,February,21619400.0
3977,Cyclovital,2020,July,21457515.0
2733,Aspinavir Silovance,2020,November,21260025.0
525,Acycnafine Microvate,2020,November,20445376.0
9977,Symdocet,2020,July,19468810.0
6560,Kinenadryl,2019,May,19253622.0
1213,Alarudin Azarolac,2018,August,19065375.0
9955,Symdocet,2018,March,18817860.0
7209,Magnemunex,2017,November,18215093.0
5497,Formolovir Amanferon,2019,August,17602369.0
7315,Malavirine Alimdine,2018,March,17525950.0
312,Acelimus,2019,April,17199776.0
6400,Ionclotide,2018,January,17054037.0
5636,Halcifergen Nevazone,2018,May,16669380.0
6971,Liomulin,2017,September,16569350.0
8185,Pentastrin,2019,August,16021292.0
10530,Topifribrate,2018,June,15692670.0
6486,Ketastadil,2017,June,15482033.0
6890,Lansostral Acgestin,2019,December,15210393.0
3235,Cephozumab Synmethate,2018,March,14767872.0
6126,Insozyme,2019,June,14708680.0
4683,Doxivorin,2019,February,14568228.0
6014,Imiformin Transmunex,2018,December,14141200.0
8665,Pulmofine,2019,August,13970528.0
10236,Tetalamide,2018,April,13670560.0
8637,Pulmodiol Adalaxime,2020,November,13534455.0
1820,Amamadin,2020,May,13505646.0
2953,Betanem,2019,August,13223262.0
1178,Aggretisol,2019,December,12974502.0
169,Abranatal Lysoprosate,2019,August,12956706.0
5001,Ergomethate,2017,November,12735340.0
4687,Doxivorin,2019,March,12264288.0
10391,Theopril,2018,September,12079872.0
10739,Travoloride,2019,September,12063880.0
2437,Apronazol,2020,August,11997768.0
11106,Victomine,2018,June,11965260.0
9583,Solasteride,2019,March,11947520.0
8857,Ranediol,2019,August,11872407.0
2610,Arivac,2018,June,11842362.0
1688,Alpharolac,2017,May,11768107.0
168,Abranatal Lysoprosate,2019,April,11700942.0
7534,Metapatch,2020,October,11360844.0
3186,Cephovelam,2018,June,10990134.0
8191,Pentastrin,2019,March,10797325.0
