,Product Name,Month,Year,Channel,Sub-channel,Sales
25326,Ionclotide,August,2019,Pharmacy,Retail,74437808.0
40865,Tetratanyl,October,2020,Pharmacy,Retail,47052880.0
8778,Antaparin Varizyme,August,2019,Pharmacy,Retail,30261870.0
7255,Amavirase,August,2019,Pharmacy,Retail,28545018.0
40732,Tetratanyl,December,2019,Hospital,Government,25596501.0
38650,Sumanazole,December,2020,Pharmacy,Retail,24583688.0
39194,Symbitrim,August,2019,Hospital,Government,23696560.0
38611,Sumanazole,April,2019,Hospital,Government,21637158.0
15701,Cyclovital,July,2020,Pharmacy,Institution,21204994.0
33915,Propratecan,February,2019,Hospital,Government,20632546.0
2062,Acycnafine Microvate,November,2020,Hospital,Government,19722234.0
39453,Symdocet,July,2020,Pharmacy,Retail,18879900.0
10819,Aspinavir Silovance,November,2020,Pharmacy,Retail,18490869.0
4776,Alarudin Azarolac,August,2018,Hospital,Private,18305595.0
26007,Kinenadryl,May,2019,Pharmacy,Institution,18057944.0
28682,Magnemunex,November,2017,Pharmacy,Institution,17461327.0
39476,Symdocet,March,2018,Pharmacy,Institution,17250880.0
21712,Formolovir Amanferon,August,2019,Hospital,Private,16846582.0
29033,Malavirine Alimdine,March,2018,Hospital,Private,16526549.0
1148,Acelimus,April,2019,Hospital,Government,16436618.0
25368,Ionclotide,January,2018,Hospital,Private,16247619.0
22386,Halcifergen Nevazone,May,2018,Hospital,Private,15125130.0
41741,Topifribrate,June,2018,Pharmacy,Institution,15015159.0
32366,Pentastrin,August,2019,Hospital,Private,14816564.0
27760,Liomulin,September,2017,Pharmacy,Retail,14582400.0
25776,Ketastadil,June,2017,Hospital,Government,13820982.0
24265,Insozyme,June,2019,Hospital,Government,13401955.0
11639,Betanem,August,2019,Hospital,Private,13014300.0
23818,Imiformin Transmunex,December,2018,Hospital,Private,12937200.0
40506,Tetalamide,April,2018,Hospital,Government,12757240.0
34265,Pulmofine,August,2019,Hospital,Government,12721808.0
27244,Lansostral Acgestin,December,2019,Pharmacy,Institution,12602700.0
34205,Pulmodiol Adalaxime,November,2020,Hospital,Government,12573715.0
19936,Ergomethate,November,2017,Pharmacy,Retail,12457500.0
18581,Doxivorin,March,2019,Hospital,Government,12075432.0
42581,Travoloride,September,2019,Hospital,Government,11840155.0
12870,Cephozumab Synmethate,March,2018,Hospital,Government,11831040.0
35024,Ranediol,August,2019,Hospital,Government,11798222.0
9545,Apronazol,August,2020,Pharmacy,Retail,11621112.0
599,Abranatal Lysoprosate,August,2019,Pharmacy,Retail,11519796.0
6789,Alpharolac,May,2017,Pharmacy,Retail,11416327.0
37965,Solasteride,March,2019,Pharmacy,Institution,11082760.0
7176,Amamadin,May,2020,Hospital,Government,10716390.0
44017,Victomine,June,2018,Hospital,Private,10417785.0
45463,Zyvance,December,2017,Hospital,Government,10378959.0
6154,Alimmethate Insudase,January,2018,Hospital,Government,10174944.0
18521,Doxivorin,February,2019,Pharmacy,Retail,10083156.0
32461,Pentastrin,March,2019,Pharmacy,Institution,10029460.0
16968,Dexmebital Acanplan,August,2019,Pharmacy,Retail,10004500.0
23629,Imiderm Vibranovate,December,2018,Pharmacy,Retail,10004280.0
